product_id,title,category,rating,price,review_count
B0000000,Sample Product 0,Toys & Games,3.6,390.95,20
B0000001,Sample Product 1,Toys & Games,4.6,225.69,214
B0000002,Sample Product 2,Automotive,3.3,327.19,308
B0000003,Sample Product 3,Books,4.3,362.39,413
B0000004,Sample Product 4,Beauty & Health,5.0,8.5,856
B0000005,Sample Product 5,Electronics,5.0,264.76,510
B0000006,Sample Product 6,Pet Supplies,3.9,311.1,875
B0000007,Sample Product 7,Toys & Games,4.0,491.7,504
B0000008,Sample Product 8,Clothing,4.4,228.0,273
B0000009,Sample Product 9,Home & Garden,4.8,471.39,13
B0000010,Sample Product 10,Books,4.4,119.29,91
B0000011,Sample Product 11,Toys & Games,4.1,306.95,775
B0000012,Sample Product 12,Clothing,3.8,332.95,1
B0000013,Sample Product 13,Beauty & Health,4.5,107.93,771
B0000014,Sample Product 14,Beauty & Health,2.1,463.7,862
B0000015,Sample Product 15,Automotive,3.2,287.37,251
B0000016,Sample Product 16,Office Products,4.3,295.44,216
B0000017,Sample Product 17,Office Products,5.0,151.66,812
B0000018,Sample Product 18,Electronics,4.2,200.47,647
B0000019,Sample Product 19,Automotive,3.9,11.97,498
B0000020,Sample Product 20,Electronics,4.9,304.95,489
B0000021,Sample Product 21,Toys & Games,4.7,327.28,27
B0000022,Sample Product 22,Toys & Games,3.9,52.23,502
B0000023,Sample Product 23,Toys & Games,5.0,336.08,804
B0000024,Sample Product 24,Clothing,2.4,282.82,738
B0000025,Sample Product 25,Sports & Outdoors,4.7,486.0,642
B0000026,Sample Product 26,Electronics,3.5,131.75,794
B0000027,Sample Product 27,Office Products,4.8,356.78,857
B0000028,Sample Product 28,Pet Supplies,2.9,448.4,240
B0000029,Sample Product 29,Home & Garden,3.8,283.82,899
B0000030,Sample Product 30,Sports & Outdoors,3.6,379.0,35
B0000031,Sample Product 31,Toys & Games,2.8,148.43,85
B0000032,Sample Product 32,Books,3.6,57.22,795
B0000033,Sample Product 33,Home & Garden,4.9,446.82,330
B0000034,Sample Product 34,Pet Supplies,3.8,453.88,384
